
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.000
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-12
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 3.0240E+05                      0.720       0.000  0.46520      1.00000
 3.0240E+05                      0.760       0.000  0.43591      1.00000
 3.0240E+05                      0.800       0.000  0.40707      1.00000
 3.4560E+05                      0.010       0.000  0.99354      1.00000
 3.4560E+05                      0.040       0.000  0.97403      1.00000
 3.4560E+05                      0.080       0.000  0.94774      1.00000
 3.4560E+05                      0.120       0.000  0.92114      1.00000
 3.4560E+05                      0.160       0.000  0.89426      1.00000
 3.4560E+05                      0.200       0.000  0.86711      1.00000
 3.4560E+05                      0.240       0.000  0.83972      1.00000
 3.4560E+05                      0.280       0.000  0.81213      1.00000
 3.4560E+05                      0.320       0.000  0.78435      1.00000
 3.4560E+05                      0.360       0.000  0.75642      1.00000
 3.4560E+05                      0.400       0.000  0.72837      1.00000
 3.4560E+05                      0.440       0.000  0.70024      1.00000
 3.4560E+05                      0.480       0.000  0.67206      1.00000
 3.4560E+05                      0.520       0.000  0.64388      1.00000
 3.4560E+05                      0.560       0.000  0.61574      1.00000
 3.4560E+05                      0.600       0.000  0.58767      1.00000
 3.4560E+05                      0.640       0.000  0.55973      1.00000
 3.4560E+05                      0.680       0.000  0.53196      1.00000
 3.4560E+05                      0.720       0.000  0.50441      1.00000
 3.4560E+05                      0.760       0.000  0.47714      1.00000
 3.4560E+05                      0.800       0.000  0.45019      1.00000
