
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.760
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 1.5120E+05                      0.280       0.000  0.36090      1.00000
 1.5120E+05                      0.320       0.000  0.30766      1.00000
 1.5120E+05                      0.360       0.000  0.26141      1.00000
 1.5120E+05                      0.400       0.000  0.22141      1.00000
 1.5120E+05                      0.440       0.000  0.18694      1.00000
 1.5120E+05                      0.480       0.000  0.15736      1.00000
 1.5120E+05                      0.520       0.000  0.13206      1.00000
 1.5120E+05                      0.560       0.000  0.11050      1.00000
 1.5120E+05                      0.600       0.000  0.09219      1.00000
 1.5120E+05                      0.640       0.000  0.07669      1.00000
 1.5120E+05                      0.680       0.000  0.06362      1.00000
 1.5120E+05                      0.720       0.000  0.05263      1.00000
 1.5120E+05                      0.760       0.000  0.04343      1.00000
 1.5120E+05                      0.800       0.000  0.03573      1.00000
 1.7280E+05                      0.010       0.000  0.96856      1.00000
 1.7280E+05                      0.040       0.000  0.87884      1.00000
 1.7280E+05                      0.080       0.000  0.76958      1.00000
 1.7280E+05                      0.120       0.000  0.67154      1.00000
 1.7280E+05                      0.160       0.000  0.58399      1.00000
 1.7280E+05                      0.200       0.000  0.50616      1.00000
 1.7280E+05                      0.240       0.000  0.43728      1.00000
 1.7280E+05                      0.280       0.000  0.37657      1.00000
 1.7280E+05                      0.320       0.000  0.32328      1.00000
 1.7280E+05                      0.360       0.000  0.27669      1.00000
 1.7280E+05                      0.400       0.000  0.23611      1.00000
 1.7280E+05                      0.440       0.000  0.20089      1.00000
 1.7280E+05                      0.480       0.000  0.17043      1.00000
 1.7280E+05                      0.520       0.000  0.14419      1.00000
 1.7280E+05                      0.560       0.000  0.12165      1.00000
 1.7280E+05                      0.600       0.000  0.10236      1.00000
 1.7280E+05                      0.640       0.000  0.08589      1.00000
 1.7280E+05                      0.680       0.000  0.07189      1.00000
 1.7280E+05                      0.720       0.000  0.06001      1.00000
 1.7280E+05                      0.760       0.000  0.04997      1.00000
 1.7280E+05                      0.800       0.000  0.04151      1.00000
 2.1600E+05                      0.010       0.000  0.97056      1.00000
 2.1600E+05                      0.040       0.000  0.88628      1.00000
 2.1600E+05                      0.080       0.000  0.78298      1.00000
 2.1600E+05                      0.120       0.000  0.68957      1.00000
 2.1600E+05                      0.160       0.000  0.60547      1.00000
 2.1600E+05                      0.200       0.000  0.53005      1.00000
 2.1600E+05                      0.240       0.000  0.46268      1.00000
 2.1600E+05                      0.280       0.000  0.40274      1.00000
 2.1600E+05                      0.320       0.000  0.34959      1.00000
 2.1600E+05                      0.360       0.000  0.30263      1.00000
 2.1600E+05                      0.400       0.000  0.26129      1.00000
 2.1600E+05                      0.440       0.000  0.22500      1.00000
 2.1600E+05                      0.480       0.000  0.19326      1.00000
 2.1600E+05                      0.520       0.000  0.16558      1.00000
 2.1600E+05                      0.560       0.000  0.14152      1.00000
 2.1600E+05                      0.600       0.000  0.12066      1.00000
 2.1600E+05                      0.640       0.000  0.10263      1.00000
 2.1600E+05                      0.680       0.000  0.08709      1.00000
 2.1600E+05                      0.720       0.000  0.07373      1.00000
 2.1600E+05                      0.760       0.000  0.06228      1.00000
 2.1600E+05                      0.800       0.000  0.05249      1.00000
